Key,Value
id,MBWW-7393-94057
masterId,7393
owningTransactionBankReference,IGT/MBW/11/0163
owningTransactionBankEventReference,ISS001
masterStatus,PENDING
eventStatus,IN-PROGRESS
behalfOfBranchSwiftAddress,MBWWUS33XXX
inputBranch,NYNY
behalfOfBranch,NYNY
actionItems,"[{""messageData"": ""string"", ""messageDescription"": ""Applicant"", ""messageInfo"": ""Invalid SWIFT address"", ""actioned"": false}, {""messageData"": ""string"", ""messageDescription"": ""AdvisingBank"", ""messageInfo"": ""Invalid SWIFT address"", ""actioned"": false}, {""messageData"": ""string"", ""messageDescription"": ""IssuingBank"", ""messageInfo"": ""Invalid SWIFT address"", ""actioned"": false}, {""messageData"": ""string"", ""messageDescription"": ""AdviseThroughBank"", ""messageInfo"": ""Invalid SWIFT address"", ""actioned"": false}, {""messageData"": ""string"", ""messageDescription"": ""PrincipalNotApplicant"", ""messageInfo"": ""Invalid SWIFT address"", ""actioned"": false}, {""messageData"": ""string"", ""messageDescription"": ""FinalIssuingBank"", ""messageInfo"": ""Invalid SWIFT address"", ""actioned"": false}, {""messageData"": ""6/11/12"", ""messageDescription"": ""Date"", ""messageInfo"": ""Invalid - Approximate expiry date is not valid for conditional expiry"", ""actioned"": false}, {""messageDescription"": ""Reduction"", ""messageInfo"": ""Invalid field AmountOrPercent"", ""actioned"": false}, {""messageData"": ""ABC"", ""messageDescription"": ""Party"", ""messageInfo"": ""Invalid party"", ""actioned"": false}, {""messageDescription"": ""Reduction"", ""messageInfo"": ""Invalid field AmountOrPercent"", ""actioned"": false}, {""messageData"": ""1"", ""messageDescription"": ""PeriodAndDayInMonth"", ""messageInfo"": ""Invalid DaysInMonth"", ""actioned"": false}, {""messageDescription"": ""Reduction"", ""messageInfo"": ""Invalid field AmountOrPercent"", ""actioned"": false}, {""messageData"": ""ABC"", ""messageDescription"": ""Party"", ""messageInfo"": ""Invalid party"", ""actioned"": false}, {""messageData"": ""Finance details have been arranged for this transaction. Contact the Finance department with reference 09020019-001 for further information"", ""messageDescription"": ""Input action required"", ""messageInfo"": ""Document cross-check done by J.D."", ""messageNumber"": ""00001"", ""actioned"": true}, {""messageDescription"": ""Renewal"", ""messageInfo"": ""Invalid renewal details. Renewal and RenewalDetails are mutually exclusive."", ""actioned"": false}, {""messageDescription"": ""Additional Information"", ""messageInfo"": ""Field additional information is invalid for delivery by method COLL"", ""actioned"": false}, {""messageDescription"": ""Renewal"", ""messageInfo"": ""Invalid renewal details. Renewal and RenewalDetails are mutually exclusive."", ""actioned"": false}, {""messageData"": ""(named bank)"", ""messageDescription"": ""Available With"", ""messageInfo"": ""Input to 'Available with' is not relevant for Form of Undertaking other than 'Standby LC'"", ""actioned"": false}, {""messageDescription"": ""Renewal"", ""messageInfo"": ""Invalid renewal details. Renewal and RenewalDetails are mutually exclusive."", ""actioned"": false}, {""messageData"": ""O"", ""messageDescription"": ""CounterReceived-Amount-AmountSpecification"", ""messageInfo"": ""The tolerance qualifier O - (Other) has been updated to E - (Exact)"", ""messageNumber"": ""GWY"", ""actioned"": true}, {""messageData"": ""O"", ""messageDescription"": ""CounterToSend-Amount-AmountSpecification"", ""messageInfo"": ""The tolerance qualifier O - (Other) has been updated to E - (Exact)"", ""messageNumber"": ""GWY"", ""actioned"": true}, {""messageData"": ""ADV"", ""messageDescription"": ""ProductType"", ""messageInfo"": ""Invalid, TypeOfLocalUndertaking field should be used when issuing a counter undertaking"", ""messageNumber"": ""---"", ""actioned"": false}]"
requestType,ISSUE-COUNTER-REQUEST-COUNTER
senderReference,ABC001
instructionsReceived,"{""instructingParty"": ""COUNTER-RECEIVED-FROM-BANK"", ""issueBy"": ""EMAIL"", ""applicationDate"": ""2011-05-18""}"
partyInstructions,"{""instructionsFromInstructingParty"": ""instructionsFromInstructingParty"", ""responseToInstructingParty"": ""responseToInstructingParty"", ""instructionsToNextParty"": ""instructionsToNextParty""}"
adviseDirect,False
